id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
274466,半岛海洋国际,海口,海口周边,澄迈,,高层,盈滨路,110.1224532,19.99014404,,40.0,,0,公寓住宅,民用,7.3,12,0.0,10701.0,Hainan,,Chengmai,Hainan-Hainan
274456,金碧海岸,海口,海口周边,澄迈,,小高层,桃源路,110.1170873,19.9923316,,55.0,,0,公寓住宅,民用,7.1,12,0.0,16853.0,Hainan,,Chengmai,Hainan-Hainan
274461,海鹏比邻湾,海口,海口周边,澄迈,,小高层,二横路,110.1294,19.99664813,,40.0,,0,公寓住宅,民用,7.3,12,0.0,9729.0,Hainan,,Chengmai,Hainan-Hainan
274453,天邑国际花园,海口,海口周边,澄迈,,低层,永庆大道西路,110.1091062,19.98497032,,35.0,,0,别墅,民用,7.1,12,0.0,9100.0,Hainan,,Chengmai,Hainan-Hainan
274360,玉海金华,海口,海口周边,澄迈,,高层,盈滨大道8号,110.125218,19.98986361,,35.3,,0,公寓住宅,民用,7.6,12,0.0,10975.0,Hainan,,Chengmai,Hainan-Hainan
274368,丽海阳光,海口,海口周边,澄迈,,高层,南海大道,110.1342049,19.96926784,,42.0,,0,公寓住宅,民用,7.9,12,0.0,8526.0,Hainan,,Chengmai,Hainan-Hainan
274372,盈滨福宜圣地,海口,海口周边,澄迈,,小高层,"永庆大道西路,近盈滨路",110.1213923,19.98534989,,49.47,50000.0,424,公寓住宅,民用,7.1,12,0.0,12266.0,Hainan,,Chengmai,Hainan-Hainan
274373,皇玛花园,海口,海口周边,澄迈,,低层,永庆大道9号,110.1084403,19.98697629,,43.0,42569.0,135,别墅,民用,7.4,12,0.0,22999.0,Hainan,,Chengmai,Hainan-Hainan
274378,熙岸高尔夫公寓,海口,海口周边,澄迈,,小高层,225国道,110.1400504,19.97746238,,45.1,,0,公寓住宅,民用,7.7,12,0.0,8295.0,Hainan,,Chengmai,Hainan-Hainan
274381,半岛双海湾,海口,海口周边,澄迈,,高层,永庆大道西路,110.1213262,19.99098068,,57.0,,0,商住楼,商用,7.4,12,0.0,9826.0,Hainan,,Chengmai,Hainan-Hainan
274452,溢盈海岸,海口,海口周边,澄迈,,低层,永庆大道东路,110.1268887,19.99260169,,35.0,,0,别墅,民用,7.2,12,0.0,30172.0,Hainan,,Chengmai,Hainan-Hainan
274321,鲁能海蓝福源(别墅),海口,海口周边,澄迈,2016,低层,桃源路,110.1173058,19.98851653,,68.0,,0,别墅,民用,7.8,12,-1.0,22731.0,Hainan,,Chengmai,Hainan-Hainan
274327,海湾雨林,海口,海口周边,澄迈,2020,高层,南海大道66号,110.1317852,19.97168835,,55.8,470000.0,488,公寓住宅,民用,8.6,12,0.46,10814.0,Hainan,,Chengmai,Hainan-Hainan
274329,南海之滨,海口,海口周边,澄迈,2017,高层,南站出口路,110.1409064,19.9726944,,50.0,266000.0,3500,公寓住宅,民用,8.2,12,0.0,10668.0,Hainan,,Chengmai,Hainan-Hainan
274330,鲁能海蓝福源东二区,海口,海口周边,澄迈,,高层,"永庆大道西路,近盈滨路",110.1192062,19.98736186,,50.0,560000.0,2089,公寓住宅,民用,7.8,12,0.09,11879.0,Hainan,,Chengmai,Hainan-Hainan
